中景濠庭|(东城安定门)安德路12号院|80411|2001年建成|塔楼/塔板结合|3.5元/平米/月|北京中景濠庭物业管理有限责任公司|北京千禧福临房地产开发有限公司|3栋
神龙坚桥小区|(亦庄开发区马驹桥)马驹桥商业街西行100米路北|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|6栋
西山峻景|(石景山石景山其它)隆恩寺路19号|36845|2003年建成|板楼|暂无信息|北京晨旭物业管理有限公司|北京中宸房地产开发有限公司|8栋
博大公寓|(亦庄开发区亦庄)机械城家属楼|暂无参考均价|2003年建成|板楼|暂无信息|北京博大经开物业管理有限公司|北京博大兴房地产开发有限公司|2栋
广宁村|(石景山苹果园)新立楼|37536|1979年建成|塔楼/板楼|0.65至1.75元/平米/月|首钢物业|神华北京国华电力有限公司|20栋
富兴国际中心|(亦庄开发区亦庄)荣华中路与天华北街路口西北角|暂无参考均价|2015年建成|板楼|23元/平米/月|北京佳洁鸿运物业管理有限公司|北京富兴金地置业有限公司|5栋
八角路小区|(石景山八角)八角路|40015|1960年建成|板楼|0.5元/平米/月|北京首欣物业管理有限责任公司|北京首钢房地产开发有限公司|33栋
六铺炕三区|(西城六铺炕)六铺炕三区|122804|1952年建成|板楼/塔板结合/平房|0.5元/平米/月|单位自管物业|水利电力规划院|23栋
宏汇园小区|(西城金融街)宏汇园|158859|1999年建成|板楼|1元/平米/月|北京丰汇物业管理有限责任公司|北京兆泰置地（集团）股份有限公司|9栋
万博苑|(西城右安门内)右安门内大街72号|78895|1999年建成|塔楼/板楼|1.65至2.68元/平米/月|乐生活(北京)智慧社区投资发展有限责任公司|北京宏业房地产开发有限责任公司|5栋
复兴门外大街|(西城木樨地)复兴门外大街|106386|1979年建成|塔楼/板楼/塔板结合|1元/平米/月|亿方物业管理公司|无开发商|22栋
安贞苑50号院|(东城安贞)安贞苑50号院|90660|1996年建成|板楼|暂无信息|北京网信物业管理有限公司|无开发商|4栋
鼎盛园|(东城永定门)安乐林路16号院|73194|2005年建成|塔板结合|暂无信息|无物业管理服务|北京鼎维原房地产开发有限公司|3栋
民安小区东羊管胡同|(东城东直门)东羊管胡同|101222|2002年建成|板楼/塔板结合|0.5至3元/平米/月|北京市燕厦物业管理服务中心|北京东方置地房地产开发有限公司|4栋
花市枣苑二期|(东城东花市)花市枣苑|99054|2003年建成|塔楼|2.48元/平米/月|北京花市枣苑物业管理有限责任公司|北京城和房地产开发有限责任公司|2栋
南竹杆胡同|(东城朝阳门内)南竹杆胡同|110326|2003年建成|塔楼/板楼/塔板结合|0.5至8元/平米/月|北京天诺物业管理有限责任公司|北京住总房地产开发有限责任公司|6栋
大方家胡同|(东城朝阳门内)大方家胡同|102587|1990年建成|板楼/塔板结合/平房|0.5至1元/平米/月|北京亿方物业管理有限责任公司|北京住总房地产开发有限责任公司|15栋
华普花园|(东城东直门)东直门南大街9号|59126|2001年建成|塔楼|5.5元/平米/月|北京中地物业管理有限公司|中地房地产开发有限公司|4栋
青年湖南街|(东城安定门)青年湖南街|100558|1992年建成|板楼/塔板结合|1至2.17元/平米/月|单位自管物业|无开发商|3栋
东中街|(东城东直门)东中路东中街113号|98806|1982年建成|板楼/塔板结合|1.1至2.64元/平米/月|北京银达物业管理有限责任公司|无开发商|10栋
左安溪园|(东城左安门)左安门内大街左安溪园小区|90412|2004年建成|塔板结合|2.5元/平米/月|北京崇开嘉信物业管理有限公司|北京崇开嘉信房地产开发有限公司|1栋
当代商城鼎城|(石景山杨庄)阜石路与杨庄东路交汇处, 阜石路165号院|20116|2008年建成|塔楼/板楼|2.98至8元/平米/月|暂无信息|暂无信息|3栋
玉泉西路甲3号院|(石景山玉泉路)玉泉西路甲3号|58021|1983年建成|板楼/塔板结合|暂无信息|无物业管理服务|北京城建房地产开发有限公司|6栋
华信大厦宿舍|(石景山杨庄)杨庄中区110号院|44270|1993年建成|板楼|0.55元/平米/月|北京华方伟业科技发展有限公司|北京华电房地产开发有限责任公司|2栋
十万坪|(石景山古城)老古城大楼|53262|1979年建成|板楼|0.5元/平米/月|北京市首房物业管理有限公司|北京首钢房地产开发有限公司|18栋
京畿道|(西城金融街)太平桥大街|139138|1990年建成|板楼|0.5元/平米/月|北京银龙物业管理有限公司|万博伊家房地产开发有限公司|11栋
康乐里小区|(西城长椿街)康乐里小区|102760|1999年建成|塔楼|2.5元/平米/月|北京恒达物业管理有限责任公司|无开发商|8栋
陶然湖景|(西城陶然亭)龙爪槐胡同6号院|104543|2002年建成|板楼|2.36元/平米/月|北京永庆物业管理有限公司|北京海腾房地产开发经营有限公司|1栋
新文化街|(西城金融街)新文化街|132711|1979年建成|塔楼/板楼/塔板结合|1.68至2.2元/平米/月|北京天岳恒房屋经营管理有限公司|无开发商|15栋
化工大院|(东城和平里)兴化东里|95797|1988年建成|板楼/平房|1至1.5元/平米/月|北京中亚远恒物业管理有限公司|无开发商|19栋
西便门西里|(西城木樨地)西便门外大街西便门西里|95644|1979年建成|塔楼/板楼/塔板结合|0.8元/平米/月|北京蓟城物业管理有限公司|无开发商|14栋
茗筑|(西城马连道)北京西站南路80号院|71673|2005年建成|塔楼|2.18元/平米/月|北京佳顺物业管理有限公司|北京明天房地产开发有限公司|3栋
光明楼|(东城广渠门)光明路光明楼|80273|1950年建成|板楼|暂无信息|街道办事处（委员会）代管物业|北京市房屋管理局|37栋
忠实里|(东城广渠门)忠实里南街|82503|1970年建成|塔楼/板楼|暂无信息|无物业管理服务|无开发公司|4栋
安定路|(东城安贞)安定路|91921|1993年建成|塔楼|1.1至2.37元/平米/月|国交（北京）物业管理有限公司|无开发商|5栋
朝阳门北小街|(东城朝阳门内)朝阳门北小街|115015|1990年建成|板楼/平房|0.5元/平米/月|北京东方容和物业管理有限责任公司|北京住总房地产开发有限责任公司|25栋
前门东大街|(东城崇文门)台基厂大街前门东大街小区|87063|1979年建成|塔楼/板楼/塔板结合|暂无信息|街道办事处（委员会）代管物业|无开发商|9栋
京香福苑|(东城地安门)分司厅胡同17号|97708|2001年建成|板楼|2.5至2.7元/平米/月|北京佳美物业管理有限责任公司|北京京湘房地产开发有限责任公司|3栋
南门仓胡同|(东城朝阳门内)南门仓胡同|120048|1989年建成|板楼/平房|0.5元/平米/月|北京东方容和物业管理有限责任公司|北京城建集团|9栋
玉泉路西街2号院|(石景山玉泉路)玉泉路西街2号院|50192|1986年建成|板楼|暂无信息|无物业管理服务|北京城建房地产开发有限公司|1栋
远见国际公寓|(西城广安门)广安门外大街182号|83493|2008年建成|塔楼|2.85元/平米/月|北京明华嘉业物业管理有限责任公司|北京裕泰达房地产开发有限公司|1栋
右安门内西街甲2号院|(西城右安门内)右安门内西街甲2号院|93650|1980年建成|板楼|0.65元/平米/月|北京北电华明物业管理有限公司|北京市第一建筑工程公司|10栋
天宁寺前街南里|(西城天宁寺)天宁寺前街南里|88003|1990年建成|板楼|1.48元/平米/月|北京天鸿宝地物业管理经营公司|北京市宣武区城市建设综合开发总公司|13栋
富力信然庭|(西城陶然亭)南纬路38号院|123081|2006年建成|板楼|2.88至6元/平米/月|北京恒富物业管理有限公司|北京富力城房地产开发有限公司|3栋
手帕口北街|(西城广安门)手帕口北街|77516|1974年建成|板楼|暂无信息|无物业管理服务|无开发商|8栋
三里河二区B区|(西城月坛)三里河二区B区|128686|2000年建成|塔楼|2.28元/平米/月|北京汇灵物业管理有限责任公司|暂无信息|6栋
凯景铭座|(东城安定门)外馆东街51号院|75990|2001年建成|塔楼/塔板结合|2.3元/平米/月|北京均豪物业管理有限责任公司|北京强佑房地产开发有限公司|2栋
菊儿胡同|(东城地安门)菊儿胡同|118464|1985年建成|板楼|暂无信息|业主自筹物业|无开发商|28栋
仓南胡同14号院|(东城朝阳门内)朝阳门内大街75号院|126138|1993年建成|板楼|暂无信息|无物业管理服务|北京市新兴装备研究院管理公司|2栋
贡院六号|(东城建国门内)贡院西街6号|92876|2002年建成|塔楼/塔板结合|12.4元/平米/月|北京东方绿都物业管理有限公司|北京绿都源房地产开发有限公司|4栋
十字坡东里|(东城工体)十字坡东里|93766|1986年建成|板楼|暂无信息|街道办事处（委员会）代管物业|无开发商|10栋
永合馨苑|(东城西罗园)管村甲10号楼|55471|2001年建成|塔板结合|1.8元/平米/月|北京普泽物业管理有限责任公司|北京强佑房地产开发有限公司|1栋
NAGA上院|(东城东直门)东直门内大街9号|76222|2008年建成|塔楼|12元/平米/月|北京上院天恒物业管理有限公司|御嘉置地有限公司|3栋
清水苑|(东城东直门)东直门北大街甲6号院|93184|1980年建成|板楼/塔板结合|0.58元/平米/月|北京市清水物业管理服务中心|无开发商|7栋
田村山南路18号院|(石景山玉泉路)田村山南路18号院|暂无参考均价|1999年建成|板楼|暂无信息|暂无信息|暂无信息|1栋
射击家属院|(石景山苹果园)射击家属院|暂无参考均价|1980年建成|板楼|暂无信息|北京首钢物业管理有限公司|北京首钢房地产开发有限公司|13栋
第三区|(西城马连道)马连道路6号院, 马连道路8号院, 茶马街6号院, 茶马街8号院|53390|2009年建成|板楼/塔板结合|2.98至3.8元/平米/月|北京铭洋嘉宝物业管理有限公司|北京轻工房地产开发有限公司|9栋
百万庄大街21号院|(西城阜成门)百万庄大街21号院|117742|2012年建成|塔板结合|1.79元/平米/月|无物业管理服务|无开发商|2栋
